Canonical Tag,Category,Severity,Outcome,Recommendation
HC.PHI.OperativeReport,Healthcare,CRITICAL,BLOCK,LLM ADJUDICATION
HC.PHI.PatientCommunication,Healthcare,HIGH,APPROVAL,LLM ADJUDICATION
HC.PHI.PatientDemographic,Healthcare,CRITICAL,BLOCK,LLM ADJUDICATION
HC.PHI.PrescriptionData,Healthcare,CRITICAL,BLOCK,LLM ADJUDICATION
HC.PHI.PriorAuthorization,Healthcare,HIGH,APPROVAL,LLM ADJUDICATION
HC.PHI.ProviderClinicalNote,Healthcare,CRITICAL,BLOCK,LLM ADJUDICATION
HC.PHI.PsychotherapyNote,Healthcare,CRITICAL,BLOCK,LLM ADJUDICATION
HC.PHI.ReferralDocument,Healthcare,HIGH,APPROVAL,LLM ADJUDICATION
HC.PHI.RemittanceData,Healthcare,HIGH,APPROVAL,LLM ADJUDICATION
HC.PHI.ReproductiveHealthData,Healthcare,CRITICAL,BLOCK,LLM ADJUDICATION
HC.PHI.SocialDeterminants,Healthcare,HIGH,APPROVAL,LLM ADJUDICATION
HC.PHI.SubstanceUseRecord,Healthcare,CRITICAL,BLOCK,LLM ADJUDICATION
HC.PHI.TreatmentPlan,Healthcare,HIGH,APPROVAL,LLM ADJUDICATION
HC.PHI.VitalSigns,Healthcare,HIGH,APPROVAL,LLM ADJUDICATION
PHI.Global.ICD10,Healthcare,MEDIUM,APPROVAL,SEMANTIC CLASSIFIER
GOV.US.CUI,Government,MEDIUM,APPROVAL,SEMANTIC CLASSIFIER
